id,analyzed_post_id,text,sentiment,confidence,created_at,updated_at
1,1,lolol,negative,-0.397085,2014-03-22 21:22:56 UTC,2014-03-22 21:22:56 UTC
3,2,nemonehemiah ill swipe,positive,0.54371,2014-03-22 21:22:56 UTC,2014-03-22 21:22:56 UTC
4,2,app,positive,0.54371,2014-03-22 21:22:56 UTC,2014-03-22 21:22:56 UTC
5,2,freeze,positive,0.54371,2014-03-22 21:22:56 UTC,2014-03-22 21:22:56 UTC
6,4,Rick Ross option,positive,0.876118,2014-03-22 21:22:57 UTC,2014-03-22 21:22:57 UTC
7,4,JohnJohnsJuice yoooo,positive,0.876118,2014-03-22 21:22:57 UTC,2014-03-22 21:22:57 UTC
8,4,ThoughtsofCole,positive,0.876118,2014-03-22 21:22:57 UTC,2014-03-22 21:22:57 UTC
9,4,realllll,positive,0.876118,2014-03-22 21:22:57 UTC,2014-03-22 21:22:57 UTC
10,5,fun,positive,0.84045,2014-03-22 21:22:57 UTC,2014-03-22 21:22:57 UTC
11,6,WowImGoodLookin haha,positive,0.82736,2014-03-22 21:22:58 UTC,2014-03-22 21:22:58 UTC
12,6,Vutang_,positive,0.82736,2014-03-22 21:22:58 UTC,2014-03-22 21:22:58 UTC
13,6,Cee__Biscuit,positive,0.82736,2014-03-22 21:22:58 UTC,2014-03-22 21:22:58 UTC
14,7,sand rail,positive,0.395872,2014-03-22 21:22:58 UTC,2014-03-22 21:22:58 UTC
15,7,amp,positive,0.395872,2014-03-22 21:22:58 UTC,2014-03-22 21:22:58 UTC
16,7,jeep,positive,0.395872,2014-03-22 21:22:58 UTC,2014-03-22 21:22:58 UTC
17,7,let,positive,0.395872,2014-03-22 21:22:58 UTC,2014-03-22 21:22:58 UTC
18,7,goooooooo,positive,0.395872,2014-03-22 21:22:58 UTC,2014-03-22 21:22:58 UTC
19,7,KillEm,positive,0.395872,2014-03-22 21:22:58 UTC,2014-03-22 21:22:58 UTC
20,8,hahaha,positive,0.884802,2014-03-22 21:22:58 UTC,2014-03-22 21:22:58 UTC
21,10,closest friends,negative,-0.255937,2014-03-22 21:22:59 UTC,2014-03-22 21:22:59 UTC
22,10,face,negative,-0.255937,2014-03-22 21:22:59 UTC,2014-03-22 21:22:59 UTC
23,10,world,negative,-0.255937,2014-03-22 21:22:59 UTC,2014-03-22 21:22:59 UTC
24,11,maddyyquinnn silly jilly,positive,0.355077,2014-03-22 21:22:59 UTC,2014-03-22 21:22:59 UTC
25,14,somethin normal people,positive,0.404936,2014-03-22 21:23:00 UTC,2014-03-22 21:23:00 UTC
26,15,Danielle,negative,-0.829903,2014-03-22 21:23:00 UTC,2014-03-22 21:23:00 UTC
27,16,sweet payday,positive,0.832358,2014-03-22 21:23:00 UTC,2014-03-22 21:23:00 UTC
28,17,Lance,negative,-0.364155,2014-03-22 21:23:01 UTC,2014-03-22 21:23:01 UTC
29,17,LoveKillKayy,positive,0.536078,2014-03-22 21:23:01 UTC,2014-03-22 21:23:01 UTC
30,18,breakfast,positive,0.524692,2014-03-22 21:23:01 UTC,2014-03-22 21:23:01 UTC
31,18,dinner,positive,0.524692,2014-03-22 21:23:01 UTC,2014-03-22 21:23:01 UTC
32,18,midnight,positive,0.400947,2014-03-22 21:23:01 UTC,2014-03-22 21:23:01 UTC
34,20,best feeling,negative,-0.322756,2014-03-22 21:23:01 UTC,2014-03-22 21:23:01 UTC
35,20,lotion,negative,-0.322756,2014-03-22 21:23:01 UTC,2014-03-22 21:23:01 UTC
36,20,face,negative,-0.322756,2014-03-22 21:23:01 UTC,2014-03-22 21:23:01 UTC
37,20,end,negative,-0.322756,2014-03-22 21:23:01 UTC,2014-03-22 21:23:01 UTC
38,20,world,negative,-0.322756,2014-03-22 21:23:01 UTC,2014-03-22 21:23:01 UTC
39,22,semester http://t.co/WVXPSjCmCo,negative,-0.570289,2014-03-22 21:23:02 UTC,2014-03-22 21:23:02 UTC
40,22,grades,negative,-0.570289,2014-03-22 21:23:02 UTC,2014-03-22 21:23:02 UTC
41,22,ColIegeStudent,positive,0.536078,2014-03-22 21:23:02 UTC,2014-03-22 21:23:02 UTC
42,25,Nah fuck,negative,-0.510104,2014-03-22 21:23:03 UTC,2014-03-22 21:23:03 UTC
43,25,shit,negative,-0.855096,2014-03-22 21:23:03 UTC,2014-03-22 21:23:03 UTC
44,25,bracket,negative,-0.855096,2014-03-22 21:23:03 UTC,2014-03-22 21:23:03 UTC
45,26,party,negative,-0.565357,2014-03-22 21:23:03 UTC,2014-03-22 21:23:03 UTC
46,26,beach,negative,-0.565357,2014-03-22 21:23:03 UTC,2014-03-22 21:23:03 UTC
47,28,Hungggrrrryyyyy http://t.co/idfvSO4bjm,negative,-0.42723,2014-03-22 21:23:04 UTC,2014-03-22 21:23:04 UTC
48,29,RIP,negative,-0.718609,2014-03-22 21:23:04 UTC,2014-03-22 21:23:04 UTC
49,29,term,negative,-0.718609,2014-03-22 21:23:04 UTC,2014-03-22 21:23:04 UTC
50,29,people,negative,-0.718609,2014-03-22 21:23:04 UTC,2014-03-22 21:23:04 UTC
51,30,Adrianna,negative,-0.604438,2014-03-22 21:23:04 UTC,2014-03-22 21:23:04 UTC
52,30,text,negative,-0.604438,2014-03-22 21:23:04 UTC,2014-03-22 21:23:04 UTC
53,30,water,negative,-0.410121,2014-03-22 21:23:04 UTC,2014-03-22 21:23:04 UTC
54,32,ThoughtsofCole yea,positive,0.409658,2014-03-22 21:23:05 UTC,2014-03-22 21:23:05 UTC
55,33,brb,positive,0.49145,2014-03-22 21:23:05 UTC,2014-03-22 21:23:05 UTC
56,33,bit,positive,0.49145,2014-03-22 21:23:05 UTC,2014-03-22 21:23:05 UTC
57,34,movie,positive,0.382925,2014-03-22 21:23:06 UTC,2014-03-22 21:23:06 UTC
58,35,spot,positive,0.216951,2014-03-22 21:23:06 UTC,2014-03-22 21:23:06 UTC
59,35,GuyCodes,positive,0.536078,2014-03-22 21:23:06 UTC,2014-03-22 21:23:06 UTC
60,35,http://t.co/Op09HRuPKG,negative,-0.582681,2014-03-22 21:23:06 UTC,2014-03-22 21:23:06 UTC
61,36,AdriannaRamosss,positive,0.74387,2014-03-22 21:23:06 UTC,2014-03-22 21:23:06 UTC
62,36,MeganBusch,positive,0.74387,2014-03-22 21:23:06 UTC,2014-03-22 21:23:06 UTC
63,36,California,positive,0.74387,2014-03-22 21:23:06 UTC,2014-03-22 21:23:06 UTC
64,36,summer,positive,0.74387,2014-03-22 21:23:06 UTC,2014-03-22 21:23:06 UTC
65,37,smh,negative,-0.483706,2014-03-22 21:23:07 UTC,2014-03-22 21:23:07 UTC
66,38,okay Schmels,positive,0.590297,2014-03-22 21:23:07 UTC,2014-03-22 21:23:07 UTC
67,42,DocParson yeah,positive,0.444709,2014-03-22 21:23:14 UTC,2014-03-22 21:23:14 UTC
68,42,guys,positive,0.444709,2014-03-22 21:23:14 UTC,2014-03-22 21:23:14 UTC
69,43,bitch,negative,-0.423991,2014-03-22 21:23:15 UTC,2014-03-22 21:23:15 UTC
70,44,freedoms,positive,0.392418,2014-03-22 21:23:15 UTC,2014-03-22 21:23:15 UTC
71,45,alienigga,positive,0.37722,2014-03-22 21:23:15 UTC,2014-03-22 21:23:15 UTC
